ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold
60,20,last_1y,2025-05-06,2026-05-06,243,0.7353395061728395,0.18364197530864199,1.1362004558146537,0.20413326097688345,3.837000216705946,-0.062068609892664495,18.305556669941375,1.135090930508471,2.135090930508471,formal,20,0.2,1.03,0.5,,0.25,120,0.2
60,20,last_3y,2023-05-04,2026-05-06,727,0.5939993594608514,0.17055015790103056,0.4884011661792025,0.1878440678933152,2.228559101682616,-0.11789167387784727,4.14279609504278,2.305399738934701,3.305399738934701,formal,20,0.2,1.03,0.5,,0.25,120,0.2
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6819287932816925,0.2017534906287176,0.3612681299272862,0.17840387437889071,1.8295408332981817,-0.16217371289240967,2.227661459332568,3.6733327545196683,4.673332754519668,formal,20,0.2,1.03,0.5,,0.25,120,0.2
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6854907876951298,0.22486668172228794,0.32784914507451357,0.18392582736318444,1.6411406953224952,-0.16217371289241045,2.0215923976040173,16.060553904334895,17.060553904334895,formal,20,0.2,1.03,0.5,,0.25,120,0.2
60,20,full_common,2010-09-29,2026-05-06,3786,0.70281061805207,0.22441663068418102,0.3315388557955934,0.20472070508683027,1.5087488299135592,-0.2601525499659525,1.2744017148360975,86.08713736308378,87.08713736308378,formal,20,0.2,1.03,0.5,,0.25,120,0.2
60,20,last_1y,2025-05-06,2026-05-06,243,0.7350084295549657,0.18364197530864199,1.1334183329189647,0.20407302019094972,3.831645060779098,-0.06206860989266427,18.26073332202854,1.1323121546562116,2.1323121546562116,formal,20,0.2,1.03,0.5,,0.25,140,0.1
60,20,last_3y,2023-05-04,2026-05-06,727,0.6087343333226601,0.176534797782902,0.4994077447477858,0.1953092334325226,2.188321130950352,-0.12605814797585835,3.961725225753978,2.3794260211488427,3.3794260211488427,formal,20,0.2,1.03,0.5,,0.25,140,0.1
60,20,last_5y,2021-05-06,2026-05-06,1211,0.7120741040702695,0.21185178523009462,0.3719760464142303,0.18702063319210924,1.7955895886911724,-0.17350388508773584,2.143906150724711,3.860026490427363,4.860026490427363,formal,20,0.2,1.03,0.5,,0.25,140,0.1
60,20,last_10y,2016-05-04,2026-05-06,2429,0.704666067927862,0.2308361800653336,0.33856695265879666,0.18890876499762,1.6453447028997856,-0.17350388508773684,1.951350844320237,17.48932554923372,18.48932554923372,formal,20,0.2,1.03,0.5,,0.25,140,0.1
60,20,full_common,2010-09-29,2026-05-06,3786,0.7084095645380842,0.226063518297511,0.3432100219585388,0.20542419550513266,1.5468715682759169,-0.23137687162038623,1.4833376367955833,98.78845313681143,99.78845313681143,formal,20,0.2,1.03,0.5,,0.25,140,0.1
60,20,last_1y,2025-05-06,2026-05-06,243,0.7348197050125997,0.18364197530864199,1.1318324201335725,0.2040430027639371,3.8285104052469787,-0.062068609892664495,18.23518235853606,1.13072814869947,2.13072814869947,formal,20,0.2,1.03,0.5,,0.25,140,0.15
