date,sz50,zz1000,spread_close,score,base_gross_exposure,base_nav,base_target_vol_scale,base_realized_vol,base_nav_defense_gate,base_decay_gate,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,overheat_gate,overheat_indicator,overheat_scale
2025-12-31,3031.126,7595.285,1.5031824091155952,-18.51409984051509,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.09134722862988179,1.0
2026-01-05,3099.746,7753.88,1.5057705620614399,-19.294440658786918,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.08982656800246572,1.0
2026-01-06,3158.763,7864.903,1.5127788402010642,-19.001414833758748,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.08873651158627349,1.0
2026-01-07,3145.12,7906.42,1.4983356369278888,-20.59440152134715,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.09052958330414478,1.0
2026-01-08,3122.063,7971.589,1.4751919469081327,-24.708100127417715,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.09420436097240031,1.0
2026-01-09,3134.325,8129.183,1.4522751163574545,-30.718057622443926,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.10604645861714564,1.0
2026-01-12,3143.737,8357.011,1.4169254547493335,-39.10547424203623,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.11478948973771494,1.0
2026-01-13,3132.933,8203.133,1.438543913970409,-42.24705272210144,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.12968705324648197,1.0
2026-01-14,3112.075,8257.172,1.4196147179239118,-45.62883665289354,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.1450644838617197,1.0
2026-01-15,3105.575,8240.775,1.4194684203603267,-47.06688795351022,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.14522900603898792,1.0
2026-01-16,3079.763,8232.729,1.4090462451703232,-48.11696446100805,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.14088769225825898,1.0
2026-01-19,3075.936,8265.646,1.4016909303265461,-48.59143782306474,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.14106002887298624,1.0
2026-01-20,3070.646,8182.752,1.4134554748148789,-46.446043055412225,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.13725136484989303,1.0
2026-01-21,3067.175,8247.68,1.4007432000985556,-44.81031706982186,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.1445699880127559,1.0
2026-01-22,3053.128,8309.346,1.3839803963066395,-44.64753913583794,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.14539625663243233,1.0
2026-01-23,3032.193,8470.744,1.3483016116888955,-48.69906612815161,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.14365469414735202,1.0
2026-01-26,3049.587,8365.435,1.3731066429765777,-47.52795616273393,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.15577789014913232,1.0
