pair,pair_cn,direction,start,end,days,segment_return,win
SZ50/ZZ500,上证50/中证500,-1,2024-04-19,2024-04-26,6,-0.0041392847895151,False
SZ50/ZZ500,上证50/中证500,1,2024-04-29,2024-05-06,3,-0.0229483253419848,False
SZ50/ZZ500,上证50/中证500,-1,2024-05-07,2024-05-20,10,-0.0244258624554579,False
SZ50/ZZ500,上证50/中证500,1,2024-05-21,2024-06-17,19,0.0133851925066448,True
SZ50/ZZ500,上证50/中证500,-1,2024-06-18,2024-06-25,6,-0.0621314529498899,False
SZ50/ZZ500,上证50/中证500,1,2024-06-26,2024-07-30,25,0.0288275097516252,True
SZ50/ZZ500,上证50/中证500,-1,2024-07-31,2024-08-22,17,-0.0472623877708271,False
SZ50/ZZ500,上证50/中证500,1,2024-08-23,2024-09-05,10,-0.0556380508876929,False
SZ50/ZZ500,上证50/中证500,-1,2024-09-06,2024-11-21,48,0.129050232608989,True
SZ50/ZZ500,上证50/中证500,1,2024-11-22,2025-01-22,43,0.0109938210065312,True
SZ50/ZZ500,上证50/中证500,-1,2025-01-23,2025-03-17,32,0.0150764918947698,True
SZ50/ZZ500,上证50/中证500,1,2025-03-18,2025-05-06,32,0.0355640471793115,True
SZ50/ZZ500,上证50/中证500,-1,2025-05-07,2025-05-23,13,-0.0486914315752968,False
SZ50/ZZ500,上证50/中证500,1,2025-05-26,2025-06-04,7,-0.0361050054436982,False
SZ50/ZZ500,上证50/中证500,-1,2025-06-05,2025-09-04,66,0.1121073966004724,True
SZ50/ZZ500,上证50/中证500,1,2025-09-05,2025-09-17,9,-0.0898535238647,False
SZ50/ZZ500,上证50/中证500,-1,2025-09-18,2025-10-15,14,-0.0202628410985603,False
SZ50/ZZ500,上证50/中证500,1,2025-10-16,2025-12-11,41,0.0216909146303725,True
SZ50/ZZ500,上证50/中证500,-1,2025-12-12,2026-02-06,39,0.2041933694634705,True
SZ50/ZZ500,上证50/中证500,1,2026-02-09,2026-03-06,14,-0.0460267326889981,False
SZ50/ZZ500,上证50/中证500,-1,2026-03-09,2026-03-13,5,-0.0042315090986752,False
SZ50/ZZ500,上证50/中证500,1,2026-03-16,2026-04-17,24,-0.0294737056257957,False
SZ50/ZZ500,上证50/中证500,-1,2026-04-20,2026-05-07,11,0.0194660495125875,True
ZZ1000/CYB,中证1000/创业板,-1,2023-05-08,2023-06-01,19,-0.0228992366455159,False
ZZ1000/CYB,中证1000/创业板,1,2023-06-02,2023-06-21,14,-0.0152224682775178,False
ZZ1000/CYB,中证1000/创业板,-1,2023-06-26,2023-08-30,48,0.0263230949885255,True
ZZ1000/CYB,中证1000/创业板,1,2023-08-31,2023-11-02,40,0.0628572536590288,True
ZZ1000/CYB,中证1000/创业板,-1,2023-11-03,2023-11-21,13,-0.0476407754267703,False
ZZ1000/CYB,中证1000/创业板,1,2023-11-22,2023-12-13,16,0.0356984060117286,True
ZZ1000/CYB,中证1000/创业板,-1,2023-12-14,2024-03-04,51,0.1206544983295487,True
ZZ1000/CYB,中证1000/创业板,1,2024-03-05,2024-05-21,51,-0.0070150112011594,False
ZZ1000/CYB,中证1000/创业板,-1,2024-05-22,2024-07-01,28,0.0148636891737896,True
ZZ1000/CYB,中证1000/创业板,1,2024-07-02,2024-07-19,14,-0.0622341011046256,False
ZZ1000/CYB,中证1000/创业板,-1,2024-07-22,2024-08-01,9,-0.0706220642400683,False
ZZ1000/CYB,中证1000/创业板,1,2024-08-02,2024-08-28,19,-0.0075034920853467,False
ZZ1000/CYB,中证1000/创业板,-1,2024-08-29,2024-08-30,2,-0.008173614734739,False
ZZ1000/CYB,中证1000/创业板,1,2024-09-02,2024-09-03,2,0.0011512897673828,True
ZZ1000/CYB,中证1000/创业板,-1,2024-09-04,2024-09-06,3,0.0004522342670916,True
ZZ1000/CYB,中证1000/创业板,1,2024-09-09,2024-09-09,1,-0.0147854013750855,False
ZZ1000/CYB,中证1000/创业板,-1,2024-09-10,2024-10-28,28,0.1735981326518638,True
ZZ1000/CYB,中证1000/创业板,1,2024-10-29,2024-12-30,45,0.0146262697684331,True
ZZ1000/CYB,中证1000/创业板,-1,2024-12-31,2025-02-11,24,-0.0466531079247192,False
ZZ1000/CYB,中证1000/创业板,1,2025-02-12,2025-03-03,14,-0.0133918947790635,False
ZZ1000/CYB,中证1000/创业板,-1,2025-03-04,2025-03-04,1,-0.0258205402345517,False
ZZ1000/CYB,中证1000/创业板,1,2025-03-05,2025-03-28,18,0.0168213563966779,True
ZZ1000/CYB,中证1000/创业板,-1,2025-03-31,2025-04-10,8,-0.0464331756446794,False
ZZ1000/CYB,中证1000/创业板,1,2025-04-11,2025-04-29,13,0.0026900990935254,True
ZZ1000/CYB,中证1000/创业板,-1,2025-04-30,2025-06-06,24,0.0148951288599106,True
ZZ1000/CYB,中证1000/创业板,1,2025-06-09,2025-06-13,5,-0.016689723100507,False
ZZ1000/CYB,中证1000/创业板,-1,2025-06-16,2025-08-06,38,0.0356829198417869,True
ZZ1000/CYB,中证1000/创业板,1,2025-08-07,2025-08-20,10,-0.0565018234118087,False
ZZ1000/CYB,中证1000/创业板,-1,2025-08-21,2025-10-10,31,0.210780084605457,True
