trade_id,strategy,symbol,holding_code,pair,long_leg,short_leg,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
37,Sub-A-DK,DK_T0037,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2016-02-05,2016-02-05,1.0,0.9947035314048644,long,1,False
38,Sub-A-DK,DK_T0038,HS300/CYB_-1,HS300/CYB,创业板,沪深300,2016-02-15,2016-02-15,1.0,1.0120437130412343,long,1,False
39,Sub-A-DK,DK_T0039,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2016-02-16,2016-02-25,1.0,0.9808847205170785,long,8,False
40,Sub-A-DK,DK_T0040,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2016-02-26,2016-03-01,1.0,0.9554322426174086,long,3,False
41,Sub-A-DK,DK_T0041,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2016-03-02,2016-03-02,1.0,1.0127877504100937,long,1,False
42,Sub-A-DK,DK_T0042,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2016-03-03,2016-03-04,1.0,1.0473328964041582,long,2,False
43,Sub-A-DK,DK_T0043,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2016-03-07,2016-03-17,1.0,0.9523766967852597,long,9,False
44,Sub-A-DK,DK_T0044,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2016-03-18,2016-03-22,1.0,0.9730691436417699,long,3,False
45,Sub-A-DK,DK_T0045,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2016-03-23,2016-03-23,1.0,1.012825965920269,long,1,False
46,Sub-A-DK,DK_T0046,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2016-03-24,2016-04-06,1.0,1.0112076237463796,long,9,False
47,Sub-A-DK,DK_T0047,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2016-04-07,2016-04-20,1.0,0.9709150491717493,long,10,False
48,Sub-A-DK,DK_T0048,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2016-04-22,2016-04-25,1.0,0.9916704609165418,long,2,False
49,Sub-A-DK,DK_T0049,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2016-04-26,2016-05-11,1.0,1.0085535241005998,long,11,False
50,Sub-A-DK,DK_T0050,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2016-05-12,2016-05-13,1.0,1.0010556566525017,long,2,False
51,Sub-A-DK,DK_T0051,HS300/ZZ1000_1,HS300/ZZ1000,沪深300,中证1000,2016-05-16,2016-05-26,1.0,0.9741431940780517,long,9,False
52,Sub-A-DK,DK_T0052,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2016-05-27,2016-06-01,1.0,0.9957355778893675,long,4,False
53,Sub-A-DK,DK_T0053,HS300/CYB_-1,HS300/CYB,创业板,沪深300,2016-06-02,2016-06-06,1.0,1.0086647400422213,long,3,False
54,Sub-A-DK,DK_T0054,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2016-06-07,2016-06-13,1.0,0.9586095951370118,long,3,False
55,Sub-A-DK,DK_T0055,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2016-06-14,2016-06-14,1.0,0.9995973813564478,long,1,False
56,Sub-A-DK,DK_T0056,HS300/ZZ1000_-1,HS300/ZZ1000,中证1000,沪深300,2016-06-15,2016-06-17,1.0,1.0435648343644566,long,3,False
57,Sub-A-DK,DK_T0057,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2016-06-20,2016-06-27,1.0,0.9926349617772855,long,6,False
58,Sub-A-DK,DK_T0058,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2016-06-28,2016-07-07,1.0,1.0024660253528417,long,8,False
59,Sub-A-DK,DK_T0059,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2016-07-08,2016-07-12,1.0,0.9908192261585079,long,3,False
60,Sub-A-DK,DK_T0060,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2016-07-13,2016-07-19,1.0,1.0224897565397821,long,5,False
61,Sub-A-DK,DK_T0061,ZZ500/ZZ1000_1,ZZ500/ZZ1000,中证500,中证1000,2016-07-20,2016-07-29,1.0,1.0287711615939747,long,8,False
62,Sub-A-DK,DK_T0062,HS300/ZZ1000_1,HS300/ZZ1000,沪深300,中证1000,2016-08-01,2016-08-02,1.0,1.0023879710982697,long,2,False
63,Sub-A-DK,DK_T0063,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2016-08-03,2016-08-04,1.0,0.98217838336868,long,2,False
64,Sub-A-DK,DK_T0064,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2016-08-05,2016-08-18,1.0,1.0119112556466865,long,10,False
65,Sub-A-DK,DK_T0065,HS300/CYB_1,HS300/CYB,沪深300,创业板,2016-08-19,2016-08-23,1.0,1.0072183524110185,long,3,False
66,Sub-A-DK,DK_T0066,HS300/ZZ500_1,HS300/ZZ500,沪深300,中证500,2016-08-24,2016-08-29,1.0,0.9855058542206386,long,4,False
